,car_name,car_prices_in_rupee,kms_driven,fuel_type,transmission,ownership,engine,Seats,age
1314,Mitsubishi Pajero Sport,1645000,39000,Diesel,Automatic,1st Owner,1198 cc,5 Seats,6
1315,Hyundai Grand i10,625000,12000,Petrol,Manual,2nd Owner,1999 cc,5 Seats,3
1316,Honda Amaze EX,360000,85000,Petrol,Manual,1st Owner,1248 cc,5 Seats,9
1317,Land Rover Discovery,2950000,120000,Diesel,Automatic,1st Owner,2996 cc,7 Seats,7
1318,Maruti SX4 S,751000,90000,Diesel,Manual,1st Owner,2993 cc,5 Seats,5
1319,Mercedes-Benz GLS 400,6250000,80000,Petrol,Automatic,1st Owner,1248 cc,5 Seats,6
1320,BMW X5 xDrive,5650000,34000,Diesel,Automatic,1st Owner,1451 cc,6 Seats,4
1321,Maruti Ciaz VDi,465000,72000,Diesel,Manual,1st Owner,1950 cc,5 Seats,8
1322,MG Hector Plus,1900000,18000,Petrol,Automatic,1st Owner,2143 cc,5 Seats,2
1323,Mercedes-Benz C-Class Progressive,4790000,11000,Petrol,Automatic,1st Owner,1595 cc,5 Seats,2
1324,Mercedes-Benz E-Class E250,2590000,60625,Diesel,Automatic,2nd Owner,1197 cc,5 Seats,7
1325,Mercedes-Benz A Class,1700000,68000,Petrol,Automatic,1st Owner,4663 cc,5 Seats,6
1326,Maruti Baleno 1.2,525000,75000,Petrol,Automatic,1st Owner,1968 cc,5 Seats,7
1327,Mercedes-Benz S-Class S,4900000,70000,Petrol,Automatic,2nd Owner,2987 cc,7 Seats,8
1328,Audi Q3 2.0,1589000,73000,Diesel,Automatic,1st Owner,1968 cc,5 Seats,8
1329,Mercedes-Benz GLS 350d,5885000,65000,Diesel,Automatic,1st Owner,2995 cc,5 Seats,6
1330,Audi Q3 35,1750000,70011,Diesel,Automatic,1st Owner,2755 cc,7 Seats,8
1331,Land Rover Range,0,40000,Petrol,Automatic,1st Owner,1968 cc,5 Seats,4
1332,Toyota Innova Crysta,1750000,67011,Diesel,Automatic,1st Owner,1497 cc,5 Seats,6
1333,Skoda Yeti Ambition,325000,103000,Diesel,Manual,1st Owner,1998 cc,5 Seats,10
1334,Honda City i-VTEC,949000,50000,Petrol,Automatic,2nd Owner,1197 cc,5 Seats,6
1335,Volvo XC60 B5,6850000,7000,Petrol,Automatic,1st Owner,3198 cc,7 Seats,1
1336,Maruti Swift Dzire,640000,30000,Petrol,Manual,1st Owner,1991 cc,5 Seats,4
1337,Ford Endeavour Titanium,3149000,44000,Diesel,Automatic,1st Owner,1353 cc,5 Seats,5
1338,Mercedes-Benz GLC 300,4800000,28500,Petrol,Automatic,1st Owner,1248 cc,5 Seats,4
1339,Hyundai Creta SX,1975000,8000,Petrol,Automatic,1st Owner,1497 cc,5 Seats,2
1340,Maruti Swift VDI,590000,60000,Diesel,Manual,1st Owner,1197 cc,5 Seats,4
1341,Honda City V,394000,70000,Petrol,Automatic,2nd Owner,1995 cc,5 Seats,11
1342,Maruti Ignis 1.2,434999,80000,Petrol,Manual,1st Owner,1497 cc,5 Seats,5
1343,BMW X1 sDrive,3000000,25000,Diesel,Automatic,1st Owner,796 cc,5 Seats,4
1344,Honda City V,1050000,2000,Petrol,Manual,1st Owner,2694 cc,7 Seats,1
1345,Maruti Alto 800,320000,35000,Petrol,Manual,1st Owner,2987 cc,5 Seats,5
1346,Toyota Innova Crysta,2000000,26000,Petrol,Automatic,1st Owner,2184 cc,4 Seats,5
1347,Maserati Ghibli Diesel,6600000,12000,Diesel,Automatic,1st Owner,1197 cc,5 Seats,7
1348,Mahindra Thar LX,1775000,13001,Diesel,Automatic,1st Owner,2143 cc,5 Seats,1
1349,Hyundai Xcent 1.2,475000,60000,Petrol,Manual,2nd Owner,1199 cc,5 Seats,4
1350,Mercedes-Benz C-Class C,2150000,37000,Diesel,Automatic,2nd Owner,2498 cc,6 Seats,8
1351,Honda Jazz 1.2,690000,27200,Petrol,Automatic,1st Owner,1462 cc,5 Seats,6
1352,Mahindra Thar CRDe,772000,46365,Diesel,Manual,1st Owner,1461 cc,5 Seats,6
1353,Maruti Ciaz Alpha,872000,82496,Petrol,Manual,1st Owner,1248 cc,5 Seats,4
1354,Renault Duster 110PS,651000,73656,Diesel,Automatic,1st Owner,1493 cc,7 Seats,7
1355,Maruti Ciaz ZDi,543000,92530,Diesel,Manual,1st Owner,1368 cc,5 Seats,7
1356,Mahindra TUV 300,658000,68364,Diesel,Manual,2nd Owner,1197 cc,5 Seats,6
1357,Jeep Compass 1.4,1261000,30224,Petrol,Manual,1st Owner,1462 cc,5 Seats,5
1358,Maruti Baleno 1.2,585000,88658,Petrol,Manual,1st Owner,2498 cc,6 Seats,6
1359,Maruti Vitara Brezza,1053000,26396,Petrol,Manual,1st Owner,998 cc,5 Seats,3
1360,Mahindra Thar CRDe,746000,60020,Diesel,Manual,1st Owner,1462 cc,5 Seats,6
1361,Maruti Alto K10,268000,55107,Petrol,Manual,1st Owner,796 cc,5 Seats,9
1362,Maruti Ciaz Alpha,1243000,3925,Petrol,Automatic,1st Owner,1197 cc,5 Seats,1
1363,Maruti Alto 800,323000,21949,Petrol,Manual,1st Owner,1598 cc,5 Seats,6
1364,Maruti Swift Dzire,500000,41899,Petrol,Manual,1st Owner,1497 cc,5 Seats,7
1365,Nissan Terrano XL,725000,30000,Petrol,Manual,1st Owner,2400 cc,5 Seats,5
1366,Honda City i-VTEC,865000,28000,Petrol,Manual,1st Owner,1950 cc,5 Seats,5
1367,Volvo XC60 D5,6100000,20000,Diesel,Automatic,1st Owner,1950 cc,5 Seats,2
1368,Mercedes-Benz GLC 220d,5650000,24000,Diesel,Automatic,1st Owner,1798 cc,5 Seats,3
1369,Mercedes-Benz GLE 300d,8900000,13000,Diesel,Automatic,1st Owner,998 cc,5 Seats,2
1370,Skoda Superb Style,2175000,54000,Petrol,Automatic,1st Owner,1248 cc,5 Seats,6
1371,Maruti Alto K10,315000,30555,Petrol,Manual,1st Owner,1197 cc,5 Seats,7
1372,Maruti Ciaz VDi,478000,119878,Diesel,Manual,1st Owner,1248 cc,5 Seats,8
1373,Hyundai i20 1.2,243000,84557,Petrol,Manual,1st Owner,1997 cc,7 Seats,12
1374,Maruti Ciaz VDi,536000,96528,Diesel,Manual,1st Owner,999 cc,5 Seats,6
1375,Mahindra XUV500 W10,1124000,44081,Diesel,Manual,1st Owner,1248 cc,5 Seats,6
1376,Renault Kiger RXT,775000,6494,Petrol,Automatic,1st Owner,998 cc,5 Seats,2
1377,Maruti Swift VDI,340000,118631,Diesel,Manual,1st Owner,1198 cc,5 Seats,9
1378,Maruti Alto K10,351000,47133,Petrol,Manual,1st Owner,1197 cc,5 Seats,5
1379,Honda Amaze S,455999,94025,Petrol,Manual,1st Owner,998 cc,5 Seats,6
1380,Hyundai i20 Magna,501999,68841,Petrol,Manual,1st Owner,1582 cc,5 Seats,7
1381,Hyundai Venue SX,1046000,31952,Petrol,Automatic,1st Owner,998 cc,5 Seats,4
1382,Hyundai Creta 1.6,1130000,66518,Diesel,Manual,2nd Owner,1582 cc,5 Seats,4
1383,Hyundai Venue SX,1053000,26684,Petrol,Automatic,2nd Owner,1199 cc,5 Seats,4
1384,Hyundai Creta 1.6,790000,38280,Diesel,Manual,1st Owner,1197 cc,5 Seats,8
1385,Tata Tiago 1.2,377000,96392,Petrol,Manual,1st Owner,2179 cc,7 Seats,6
1386,Maruti Swift Dzire,286000,92613,Petrol,Manual,1st Owner,1498 cc,5 Seats,12
1387,Mahindra Scorpio S7,1178000,40011,Diesel,Manual,1st Owner,1396 cc,5 Seats,5
1388,Honda City i,533000,98772,Diesel,Manual,2nd Owner,1248 cc,5 Seats,8
1389,Hyundai i20 Asta,350000,38931,Diesel,Manual,1st Owner,1396 cc,5 Seats,10
1390,Maruti Swift LDI,426999,82392,Diesel,Manual,1st Owner,2179 cc,7 Seats,6
1391,Hyundai i20 1.4,572000,96805,Diesel,Manual,1st Owner,998 cc,5 Seats,6
1392,Mahindra Scorpio S5,998000,68307,Diesel,Manual,1st Owner,1197 cc,5 Seats,5
1393,Maruti Wagon R,375000,30404,Petrol,Manual,1st Owner,1248 cc,5 Seats,7
1394,Maruti Baleno 1.2,630000,36438,Petrol,Manual,2nd Owner,2179 cc,7 Seats,5
1395,Maruti Swift VDI,376000,115206,Diesel,Manual,1st Owner,1451 cc,5 Seats,8
1396,Mahindra XUV500 W6,623000,104537,Diesel,Manual,1st Owner,1995 cc,5 Seats,8
1397,MG Hector Sharp,1613000,29827,Petrol,Automatic,2nd Owner,1968 cc,5 Seats,4
1398,BMW 3 Series,4450000,9200,Diesel,Automatic,1st Owner,2755 cc,7 Seats,3
1399,Audi Q3 35,1750000,39356,Diesel,Automatic,1st Owner,3198 cc,7 Seats,8
1400,Toyota Innova Crysta,1575000,55000,Diesel,Automatic,1st Owner,2755 cc,7 Seats,6
1401,Ford Endeavour 3.2,2875000,80000,Diesel,Automatic,1st Owner,2987 cc,5 Seats,5
1402,Toyota Innova Crysta,1945000,55000,Diesel,Automatic,1st Owner,1248 cc,5 Seats,4
1403,Mercedes-Benz S-Class S,7150000,18000,Diesel,Automatic,1st Owner,1497 cc,5 Seats,6
1404,Maruti Vitara Brezza,750000,43000,Diesel,Automatic,1st Owner,814 cc,5 Seats,5
1405,Hyundai Creta EX,1273000,1000,Petrol,Manual,1st Owner,2143 cc,5 Seats,2
1406,Hyundai EON Era,229999,67885,Petrol,Manual,1st Owner,998 cc,5 Seats,10
1407,Mercedes-Benz C-Class 220,1375000,40000,Diesel,Automatic,1st Owner,1396 cc,5 Seats,10
1408,Hyundai EON 1.0,229999,48421,Petrol,Manual,1st Owner,1197 cc,5 Seats,10
1409,Hyundai i20 Active,650000,110000,Diesel,Manual,1st Owner,1582 cc,5 Seats,5
1410,Maruti Swift Dzire,425000,49000,Petrol,Manual,1st Owner,1498 cc,5 Seats,9
1411,Hyundai Verna 1.6,450000,75000,Diesel,Manual,1st Owner,1150 cc,5 Seats,10
1412,Ford Ecosport 1.5,409999,71000,Diesel,Manual,1st Owner,1968 cc,5 Seats,9
1413,Chevrolet Aveo U-VA,0,78000,Petrol,Manual,2nd Owner,1248 cc,7 Seats,14
1414,Audi A6 35,2450000,68000,Diesel,Automatic,1st Owner,1198 cc,5 Seats,7
1415,Maruti Ertiga ZDI,518000,94944,Diesel,Manual,1st Owner,1493 cc,5 Seats,8
1416,Honda Amaze S,471000,6357,Petrol,Manual,1st Owner,1497 cc,5 Seats,6
1417,Hyundai Venue SX,1024000,24237,Diesel,Manual,1st Owner,1199 cc,5 Seats,1
1418,Kia Seltos HTX,1650000,28000,Petrol,Automatic,1st Owner,2755 cc,7 Seats,2
1419,Honda Amaze E,589000,10282,Petrol,Manual,1st Owner,2982 cc,7 Seats,3
1420,Toyota Innova Crysta,1710000,111337,Diesel,Automatic,1st Owner,1995 cc,5 Seats,5
1421,Toyota Fortuner 4x2,1262000,127429,Diesel,Manual,1st Owner,1461 cc,5 Seats,9
1422,BMW 5 Series,4050000,55000,Diesel,Automatic,2nd Owner,1197 cc,5 Seats,5
1423,Nissan Sunny Diesel,339000,61034,Diesel,Manual,2nd Owner,1120 cc,5 Seats,8
1424,Maruti Swift AMT,564000,76036,Petrol,Automatic,2nd Owner,1968 cc,5 Seats,5
1425,Hyundai Grand i10,275000,65000,Diesel,Manual,2nd Owner,1396 cc,5 Seats,9
1426,Audi Q5 30,1475000,80000,Diesel,Automatic,3rd Owner,2755 cc,7 Seats,8
1427,Hyundai Venue SX,982000,64104,Diesel,Manual,1st Owner,1582 cc,5 Seats,4
1428,Toyota Innova Crysta,1576000,116378,Diesel,Automatic,1st Owner,998 cc,5 Seats,5
1429,Hyundai Verna 1.6,560000,42234,Diesel,Manual,2nd Owner,2179 cc,7 Seats,7
1430,Hyundai Venue SX,1150000,10000,Petrol,Manual,1st Owner,1197 cc,5 Seats,2
1431,Mahindra XUV500 W6,444000,49812,Diesel,Manual,2nd Owner,1198 cc,5 Seats,10
1432,Maruti Ignis Sigma,501999,2294,Petrol,Manual,1st Owner,2967 cc,5 Seats,1
1433,Skoda Fabia 1.2,117000,94679,Petrol,Manual,5th Owner,1248 cc,5 Seats,13
1434,Audi Q5 3.0,2100000,35000,Diesel,Automatic,1st Owner,998 cc,5 Seats,8
1435,Maruti Ciaz ZDi,476000,57122,Diesel,Manual,1st Owner,1186 cc,5 Seats,9
1436,Maruti Wagon R,332000,25122,Petrol,Manual,1st Owner,1582 cc,5 Seats,6
1437,Hyundai Grand i10,350000,60000,Diesel,Manual,2nd Owner,1197 cc,5 Seats,6
1438,Hyundai Creta 1.6,1425000,36000,Diesel,Automatic,2nd Owner,1396 cc,5 Seats,3
1439,Maruti Baleno Delta,631000,38736,Petrol,Manual,1st Owner,2694 cc,7 Seats,3
1440,Hyundai i20 Asta,381000,130432,Diesel,Manual,1st Owner,1798 cc,5 Seats,9
1441,Toyota Fortuner 2.7,3100000,44000,Petrol,Automatic,2nd Owner,2967 cc,5 Seats,4
1442,Audi A6 35,3675000,30000,Petrol,Automatic,1st Owner,1086 cc,5 Seats,5
1443,Audi Q5 3.0,994999,68000,Diesel,Automatic,3rd Owner,2179 cc,7 Seats,12
1444,Hyundai i10 Magna,225000,38000,Petrol,Manual,1st Owner,1197 cc,5 Seats,12
1445,Mahindra XUV500 R,890000,65000,Diesel,Manual,1st Owner,2179 cc,7 Seats,8
1446,Maruti Swift Dzire,650000,65000,Petrol,Manual,1st Owner,1368 cc,5 Seats,4
1447,Mahindra Scorpio S5,1585000,12001,Diesel,Manual,1st Owner,1991 cc,5 Seats,1
1448,Jeep Compass 1.4,1375000,23000,Petrol,Manual,1st Owner,2967 cc,7 Seats,4
1449,Mercedes-Benz E-Class Expression,4400000,65000,Petrol,Automatic,1st Owner,1198 cc,5 Seats,5
1450,Audi Q7 45,1875000,43000,Diesel,Automatic,2nd Owner,1969 cc,5 Seats,9
1451,Honda Brio S,265000,25000,Petrol,Manual,1st Owner,1995 cc,4 Seats,11
1452,Volvo XC60 Inscription,6000000,7500,Diesel,Automatic,1st Owner,1198 cc,6 Seats,3
1453,BMW 6 Series,6050000,50000,Diesel,Automatic,1st Owner,2359 cc,5 Seats,3
1454,Mahindra KUV 100,434999,36000,Petrol,Manual,1st Owner,1968 cc,5 Seats,6
1455,Hyundai Sonata 2.4,475000,86000,Petrol,Manual,1st Owner,2987 cc,7 Seats,11
1456,Audi Q3 2.0,1300000,56500,Diesel,Automatic,1st Owner,1196 cc,5 Seats,9
1457,Mercedes-Benz GLS 350d,5200000,70000,Diesel,Automatic,2nd Owner,1582 cc,5 Seats,7
1458,Ford Figo Petrol,265000,68000,Petrol,Manual,1st Owner,1950 cc,5 Seats,10
1459,Hyundai Verna CRDi,1000000,63500,Diesel,Automatic,1st Owner,1991 cc,5 Seats,6
1460,Mercedes-Benz C-Class Progressive,4100000,26500,Diesel,Automatic,1st Owner,1995 cc,5 Seats,4
1461,Mercedes-Benz GLC 200,6100000,15000,Petrol,Automatic,1st Owner,1498 cc,5 Seats,2
1462,BMW X1 xDrive,2850000,38500,Diesel,Automatic,1st Owner,1493 cc,5 Seats,5
1463,Honda Amaze VX,925000,44500,Diesel,Automatic,1st Owner,2494 cc,5 Seats,4
1464,Hyundai i20 Sportz,975000,15500,Diesel,Manual,1st Owner,2755 cc,7 Seats,1
1465,Toyota Camry 2.5,2350000,47000,Petrol,Automatic,1st Owner,2993 cc,5 Seats,6
1466,Toyota Fortuner 2.8,3350000,12000,Diesel,Automatic,1st Owner,1995 cc,5 Seats,5
1467,BMW X5 xDrive,0,20500,Diesel,Automatic,1st Owner,2143 cc,5 Seats,1
1468,BMW 3 Series,1850000,64593,Diesel,Automatic,3rd Owner,1197 cc,5 Seats,9
1469,Mercedes-Benz GLE 250d,3650000,64000,Diesel,Automatic,1st Owner,2143 cc,5 Seats,7
1470,Toyota Glanza G,700000,70000,Petrol,Manual,1st Owner,2755 cc,7 Seats,2
1471,Mercedes-Benz E-Class E250,2200000,63203,Diesel,Automatic,2nd Owner,1997 cc,5 Seats,8
1472,Toyota Fortuner 2.8,2900000,60500,Diesel,Automatic,1st Owner,799 cc,5 Seats,6
1473,Jaguar F-Pace 2.0,7400000,9900,Diesel,Automatic,1st Owner,998 cc,5 Seats,2
1474,Renault KWID RXL,285000,25000,Petrol,Manual,1st Owner,4367 cc,5 Seats,7
1475,Maruti Wagon R,191000,65000,Cng,Manual,2nd Owner,1248 cc,7 Seats,12
1476,Land Rover Range,0,68500,Diesel,Automatic,1st Owner,1497 cc,5 Seats,4
1477,Maruti Ertiga ZDI,600000,43000,Diesel,Manual,2nd Owner,1396 cc,5 Seats,9
1478,Honda City i,590000,70000,Petrol,Manual,1st Owner,1998 cc,5 Seats,8
1479,Hyundai i20 Sportz,275000,150000,Diesel,Manual,3rd Owner,796 cc,5 Seats,10
1480,BMW X4 xDrive30i,7450000,7600,Petrol,Automatic,1st Owner,1582 cc,5 Seats,1
1481,Maruti Alto 800,307000,31458,Petrol,Manual,1st Owner,998 cc,5 Seats,2
1482,Hyundai Elantra CRDi,525000,70372,Diesel,Manual,1st Owner,2998 cc,7 Seats,10
1483,Maruti Wagon R,190000,129325,Cng,Manual,1st Owner,1497 cc,5 Seats,11
1484,BMW X7 xDrive,0,39000,Petrol,Automatic,1st Owner,2694 cc,7 Seats,4
1485,Honda City V,1015000,17000,Petrol,Manual,1st Owner,2143 cc,5 Seats,2
1486,Toyota Fortuner 2.7,3500000,20000,Petrol,Automatic,1st Owner,2987 cc,5 Seats,3
1487,Mercedes-Benz B Class,765000,57000,Diesel,Automatic,3rd Owner,1498 cc,5 Seats,10
1488,Mercedes-Benz S-Class S,5100000,40000,Diesel,Automatic,1st Owner,1196 cc,5 Seats,8
1489,Ford Ecosport 1.5,950000,46000,Diesel,Manual,1st Owner,624 cc,4 Seats,3
1490,Maruti Eeco CNG,500000,18000,Cng,Manual,1st Owner,2487 cc,5 Seats,4
1491,Tata Nano Twist,0,59290,Petrol,Manual,4th Owner,1196 cc,5 Seats,8
1492,Toyota Camry Hybrid,4090000,20000,Petrol,Automatic,1st Owner,1198 cc,5 Seats,4
1493,Maruti Eeco 5,210000,18000,Petrol,Manual,1st Owner,1198 cc,5 Seats,11
1494,Nissan Micra Active,355000,56000,Petrol,Manual,1st Owner,1995 cc,5 Seats,5
1495,Volkswagen Ameo 1.2,455000,66000,Petrol,Manual,2nd Owner,1461 cc,5 Seats,7
1496,BMW 5 Series,4600000,43000,Diesel,Automatic,1st Owner,2993 cc,5 Seats,4
1497,Nissan Terrano XL,425000,67000,Diesel,Manual,1st Owner,1493 cc,7 Seats,9
1498,BMW X6 xDrive,3790000,75000,Diesel,Automatic,2nd Owner,998 cc,5 Seats,8
1499,Mahindra TUV 300,645000,47000,Diesel,Manual,1st Owner,1968 cc,5 Seats,6
1500,Hyundai Venue SX,1075000,8800,Petrol,Manual,1st Owner,1197 cc,5 Seats,2
1501,Audi Q5 2.0,1600000,94002,Diesel,Automatic,2nd Owner,1797 cc,5 Seats,9
1502,Maruti Ignis Sigma,525000,12000,Petrol,Manual,1st Owner,1956 cc,5 Seats,2
1503,Hyundai Elantra SX,765000,75000,Petrol,Automatic,1st Owner,2143 cc,5 Seats,8
1504,Jeep Compass 2.0,1575000,62000,Diesel,Manual,1st Owner,2993 cc,5 Seats,4
1505,Mercedes-Benz C-Class C,1190000,90004,Diesel,Automatic,3rd Owner,1997 cc,7 Seats,9
1506,BMW X5 xDrive,2900000,83005,Diesel,Automatic,2nd Owner,2143 cc,5 Seats,9
1507,Mahindra XUV500 W10,1095000,47000,Diesel,Manual,1st Owner,2494 cc,7 Seats,5
1508,Mercedes-Benz GLE 250d,4400000,49000,Diesel,Automatic,1st Owner,1498 cc,5 Seats,6
1509,Toyota Innova 2.5,1200000,70000,Diesel,Manual,1st Owner,1498 cc,5 Seats,8
1510,Ford Ecosport 1.5,475000,62500,Diesel,Manual,1st Owner,1950 cc,5 Seats,8
1511,Ford Ecosport 1.5,725000,49036,Diesel,Manual,1st Owner,1595 cc,5 Seats,6
1512,Mercedes-Benz E-Class Expression,5800000,17000,Diesel,Automatic,1st Owner,1197 cc,5 Seats,3
1513,Mercedes-Benz B Class,1290000,67000,Petrol,Automatic,2nd Owner,1950 cc,5 Seats,10
1514,Maruti Swift ZXI,441000,39889,Petrol,Manual,2nd Owner,2967 cc,4 Seats,6
1515,Mercedes-Benz E-Class Exclusive,7625000,2000,Diesel,Automatic,1st Owner,1498 cc,5 Seats,1
1516,Audi A8 L,4200000,81250,Diesel,Automatic,1st Owner,1995 cc,5 Seats,8
1517,Ford Ecosport 1.5,525000,43000,Diesel,Manual,1st Owner,1196 cc,5 Seats,7
1518,BMW X3 xDrive,6000000,19000,Diesel,Automatic,1st Owner,1498 cc,5 Seats,2
1519,Ford Figo 1.2P,395000,29000,Petrol,Manual,2nd Owner,2993 cc,4 Seats,7
1520,MG Astor Sharp,1725000,2400,Petrol,Automatic,1st Owner,1796 cc,5 Seats,1
1521,Jaguar XJ 3.0L,2290000,79004,Diesel,Automatic,2nd Owner,1798 cc,5 Seats,11
1522,Mercedes-Benz C-Class C,3650000,28000,Petrol,Automatic,1st Owner,2143 cc,5 Seats,5
1523,Toyota Corolla Altis,875000,99300,Petrol,Automatic,2nd Owner,4367 cc,5 Seats,8
1524,Mercedes-Benz M-Class ML,2190000,80000,Diesel,Automatic,2nd Owner,2993 cc,4 Seats,9
1525,Land Rover Range,3525000,87002,Diesel,Automatic,2nd Owner,1968 cc,5 Seats,10
1526,BMW 7 Series,0,19000,Diesel,Automatic,1st Owner,1968 cc,5 Seats,2
1527,Audi Q5 2.0,1425000,94002,Diesel,Automatic,2nd Owner,4367 cc,5 Seats,10
1528,Audi A6 2.0,1425000,82005,Diesel,Automatic,2nd Owner,1796 cc,5 Seats,10
1529,Land Rover Range,3975000,95004,Diesel,Automatic,1st Owner,1998 cc,5 Seats,10
1530,Mercedes-Benz C-Class C,3650000,25000,Petrol,Automatic,1st Owner,1498 cc,5 Seats,5
1531,BMW X1 sDrive20i,2810000,68753,Petrol,Automatic,2nd Owner,1582 cc,5 Seats,4
1532,Ford Ecosport 1.5,475000,62500,Diesel,Manual,1st Owner,1950 cc,5 Seats,8
1533,Hyundai Creta 1.6,894999,85000,Diesel,Automatic,1st Owner,1498 cc,5 Seats,6
1534,Mercedes-Benz C-Class Progressive,4990000,12000,Petrol,Automatic,1st Owner,1248 cc,5 Seats,2
1535,Honda WR-V i-DTEC,699000,58000,Diesel,Manual,1st Owner,1248 cc,5 Seats,6
1536,Maruti Baleno 1.3,620000,55500,Diesel,Manual,1st Owner,1950 cc,5 Seats,5
1537,Maruti Baleno 1.3,625000,54000,Diesel,Manual,1st Owner,1956 cc,5 Seats,5
1538,Mercedes-Benz C-Class Progressive,4790000,12000,Petrol,Automatic,1st Owner,1956 cc,5 Seats,2
1539,Tata Harrier XM,1250000,32500,Diesel,Manual,1st Owner,1086 cc,5 Seats,4
1540,Tata Harrier XM,1260000,33500,Diesel,Manual,1st Owner,1997 cc,5 Seats,4
1541,Hyundai i10 Era,221000,60000,Petrol,Manual,1st Owner,2523 cc,7 Seats,11
1542,Land Rover Range,8500000,38000,Petrol,Automatic,1st Owner,1248 cc,5 Seats,3
1543,Mahindra Bolero SLX,450000,120000,Diesel,Manual,1st Owner,998 cc,5 Seats,8
1544,Maruti Vitara Brezza,635000,64000,Diesel,Manual,1st Owner,1996 cc,7 Seats,6
1545,Maruti Wagon R,400000,59000,Cng,Manual,1st Owner,1451 cc,5 Seats,6
1546,MG Gloster Savvy,3965000,11000,Diesel,Automatic,2nd Owner,999 cc,5 Seats,2
1547,MG Hector Sharp,1800000,12023,Petrol,Automatic,1st Owner,1969 cc,5 Seats,2
1548,Renault KWID Climber,470000,30000,Petrol,Automatic,1st Owner,0 cc,5 Seats,4
1549,Volvo S90 D4,4475000,20000,Diesel,Automatic,1st Owner,1950 cc,5 Seats,5
1550,MG ZS EV,2110000,38000,Electric,Automatic,1st Owner,1998 cc,5 Seats,3
1551,Mercedes-Benz C-Class Progressive,3650000,16500,Petrol,Automatic,1st Owner,1950 cc,5 Seats,5
1552,Mini Cooper D,1889999,29000,Diesel,Automatic,2nd Owner,1197 cc,5 Seats,9
1553,Mercedes-Benz C-Class Progressive,3900000,24000,Diesel,Automatic,2nd Owner,1498 cc,5 Seats,3
1554,Maruti Swift LXI,483000,37229,Petrol,Manual,1st Owner,2993 cc,5 Seats,3
1555,Honda City i,490000,100000,Diesel,Manual,3rd Owner,2179 cc,7 Seats,8
1556,BMW X5 xDrive,2975000,85000,Diesel,Automatic,2nd Owner,1968 cc,5 Seats,8
1557,Mahindra XUV500 W6,430999,90928,Diesel,Manual,1st Owner,1498 cc,5 Seats,10
1558,Audi A3 35,2580000,39000,Diesel,Automatic,1st Owner,1950 cc,5 Seats,3
1559,Volkswagen Vento 1.5,500000,78000,Diesel,Automatic,1st Owner,1373 cc,7 Seats,8
1560,Mercedes-Benz GLC Coupe,7150000,24900,Diesel,Automatic,1st Owner,1399 cc,5 Seats,2
1561,Maruti Ertiga VXI,725000,44000,Cng,Manual,1st Owner,1497 cc,5 Seats,7
1562,Ford Figo Diesel,193000,86483,Diesel,Manual,3rd Owner,1997 cc,5 Seats,9
1563,Honda City Edge,900000,20000,Petrol,Manual,1st Owner,1598 cc,5 Seats,4
1564,Jaguar XF 2.0,4700000,7500,Petrol,Automatic,1st Owner,2755 cc,7 Seats,3
1565,Renault Duster Petrol,575000,49000,Petrol,Manual,2nd Owner,1462 cc,7 Seats,6
1566,Toyota Innova Crysta,1875000,26000,Diesel,Automatic,1st Owner,4461 cc,7 Seats,5
1567,Maruti Ertiga CNG,675000,65000,Cng,Manual,1st Owner,1197 cc,5 Seats,8
1568,Toyota Land Cruiser,0,56000,Diesel,Automatic,1st Owner,1248 cc,5 Seats,5
1569,Toyota Glanza G,606000,40252,Petrol,Manual,1st Owner,1582 cc,5 Seats,3
1570,Maruti Swift VDI,323000,97947,Diesel,Manual,2nd Owner,1197 cc,5 Seats,9
1571,Hyundai Creta 1.6,716000,150715,Diesel,Automatic,1st Owner,1968 cc,5 Seats,8
1572,Hyundai i10 Sportz,158000,102820,Petrol,Manual,1st Owner,1462 cc,7 Seats,13
1573,Skoda New Laura,252999,109403,Diesel,Automatic,3rd Owner,1993 cc,5 Seats,11
1574,Maruti Ertiga VXI,858000,37377,Petrol,Automatic,1st Owner,1197 cc,5 Seats,4
1575,Mercedes-Benz C-Class C,6200000,4000,Diesel,Automatic,1st Owner,1461 cc,5 Seats,1
1576,Maruti Swift Dzire,367000,84728,Petrol,Manual,2nd Owner,1968 cc,5 Seats,8
1577,Renault Duster 85PS,324000,53548,Diesel,Manual,2nd Owner,1497 cc,5 Seats,10
1578,Audi A6 2.0,1619000,29397,Diesel,Automatic,1st Owner,1197 cc,5 Seats,9
1579,Honda City i,775000,64000,Petrol,Automatic,1st Owner,1997 cc,7 Seats,7
1580,Hyundai Grand i10,405999,30346,Petrol,Manual,1st Owner,1248 cc,5 Seats,7
1581,Mahindra XUV500 W10,1063000,42119,Diesel,Manual,1st Owner,1396 cc,5 Seats,6
1582,Maruti Swift Dzire,327000,120450,Diesel,Manual,2nd Owner,1198 cc,5 Seats,9
1583,Hyundai Creta 1.4,835000,70000,Diesel,Manual,1st Owner,1991 cc,4 Seats,6
1584,Honda Amaze S,440000,59534,Petrol,Manual,2nd Owner,1373 cc,5 Seats,8
1585,Chevrolet Cruze LTZ,650000,90000,Diesel,Automatic,2nd Owner,2494 cc,8 Seats,7
1586,Maruti Ciaz 1.4,750000,63001,Petrol,Manual,1st Owner,1950 cc,5 Seats,6
